"rank","property_id","address","latitude","longitude","price","currency","bathrooms","bedrooms","area","land_area","zestimate","rent_zestimate","days_on_zillow","sold_date","is_zillow_owned","image","listing_type","status_text","broker_name","input","property_url","listing_url"
"327","17013428","5228 N Thorn St, San Diego, CA 92105","32.739998","-117.08301","695000","USD","1","2","744 sqft","","633700","2352","2","","False","https://photos.zillowstatic.com/fp/539a997981c9ec2170d430001d1c71c1-p_e.jpg","FOR SALE","Coming soon","RUTH E TORRES REALTY","https://www.zillow.com/homes/San-Diego,-CA_rb/","https://www.zillow.com/homedetails/5228-N-Thorn-St-San-Diego-CA-92105/17013428_zpid/","https://www.zillow.com/san-diego-ca/8_p/"
"434","69302507","801 S Winchester Blvd APT 2103, San Jose, CA 95128","37.31251","-121.9511","835000","USD","2","2","986 sqft","","858000","3240","18","","False","https://photos.zillowstatic.com/fp/b0fab228bc1eeecfaf9fe1db676e1afc-p_e.jpg","FOR SALE","Condo for sale","","https://www.zillow.com/homes/San-Jose,-CA_rb/","https://www.zillow.com/homedetails/801-S-Winchester-Blvd-APT-2103-San-Jose-CA-95128/69302507_zpid/","https://www.zillow.com/san-jose-ca/11_p/"
"791","443220556","0 E Hedding St, San Jose, CA 95112","37.353893","-121.902916","899000","USD","","","","8,123 sqft","","","109","","False","https://photos.zillowstatic.com/fp/46e6635ee3f6fb2982e035ed7ad50bfc-p_e.jpg","FOR SALE","Lot / Land for sale","","https://www.zillow.com/homes/San-Jose,-CA_rb/","https://www.zillow.com/homedetails/0-E-Hedding-St-San-Jose-CA-95112/443220556_zpid/","https://www.zillow.com/san-jose-ca/20_p/"
"652","2055630092","1141 Saratoga Ave, San Jose, CA 95129","37.30436","-121.97951","3300000","USD","3","3","1559 sqft","","3177200","4819","58","","False","https://photos.zillowstatic.com/fp/da9365dbf98975a5e2651937593ffea7-p_e.jpg","FOR SALE","House for sale","","https://www.zillow.com/homes/San-Jose,-CA_rb/","https://www.zillow.com/homedetails/1141-Saratoga-Ave-San-Jose-CA-95129/2055630092_zpid/","https://www.zillow.com/san-jose-ca/16_p/"
"285","140313717","3526 7th Ave, San Diego, CA 92103","32.741726","-117.15873","4500000","USD","5","4","4934 sqft","","4274800","7458","14","","False","https://photos.zillowstatic.com/fp/65e75a8b661c3b083ae2a9cbc43955fa-p_e.jpg","FOR SALE","House for sale","Compass","https://www.zillow.com/homes/San-Diego,-CA_rb/","https://www.zillow.com/homedetails/3526-7th-Ave-San-Diego-CA-92103/140313717_zpid/","https://www.zillow.com/san-diego-ca/7_p/"
"264","19804110","3231 Wellcroft Ct, San Jose, CA 95148","37.314716","-121.803116","1488888","USD","2","4","1538 sqft","","","","13","","False","https://photos.zillowstatic.com/fp/0df9bbe9cde0a151f6c453ea0dad12d5-p_e.jpg","FOR SALE","House for sale","","https://www.zillow.com/homes/San-Jose,-CA_rb/","https://www.zillow.com/homedetails/3231-Wellcroft-Ct-San-Jose-CA-95148/19804110_zpid/","https://www.zillow.com/san-jose-ca/7_p/"
"96","16646954","3275 Maezel Ln, Carlsbad, CA 92008","33.164825","-117.33172","1995000","USD","4","5","2420 sqft","","","6598","40","","False","https://photos.zillowstatic.com/fp/1942df1a22bb5aef08844a9b56af7b42-p_e.jpg","FOR SALE","House for sale","Applegate Properties","https://www.zillow.com/homes/Carlsbad,-CA_rb/","https://www.zillow.com/homedetails/3275-Maezel-Ln-Carlsbad-CA-92008/16646954_zpid/","https://www.zillow.com/carlsbad-ca/3_p/"
"342","16927852","3833 Tomahawk Ln, San Diego, CA 92117","32.810055","-117.19788","1240000","USD","2","3","1550 sqft","","1250200","4322","8","","False","https://photos.zillowstatic.com/fp/e4d309f2b27add6a78c413e88cbae399-p_e.jpg","FOR SALE","House for sale","Berkshire Hathaway HomeServices California Properties","https://www.zillow.com/homes/San-Diego,-CA_rb/","https://www.zillow.com/homedetails/3833-Tomahawk-Ln-San-Diego-CA-92117/16927852_zpid/","https://www.zillow.com/san-diego-ca/9_p/"
"246","17063845","936 Cornish Dr, San Diego, CA 92107","32.72416","-117.253555","3250000","USD","3","4","2417 sqft","","","7614","14","","False","https://photos.zillowstatic.com/fp/253d69a83452b6b91367a2b55b98d723-p_e.jpg","FOR SALE","House for sale","Berkshire Hathaway HomeServices California Properties","https://www.zillow.com/homes/San-Diego,-CA_rb/","https://www.zillow.com/homedetails/936-Cornish-Dr-San-Diego-CA-92107/17063845_zpid/","https://www.zillow.com/san-diego-ca/6_p/"
"119","16929505","7807 Hummingbird Ln, San Diego, CA 92123","32.791588","-117.156075","789000","USD","3","4","1454 sqft","","783900","3884","4","","False","https://photos.zillowstatic.com/fp/3e3f7aeb5bf512d9b37232be2a288615-p_e.jpg","FOR SALE","Townhouse for sale","Wilhelmy Realty","https://www.zillow.com/homes/San-Diego,-CA_rb/","https://www.zillow.com/homedetails/7807-Hummingbird-Ln-San-Diego-CA-92123/16929505_zpid/","https://www.zillow.com/san-diego-ca/3_p/"
"56","17082281","5863 Roswell St, San Diego, CA 92114","32.71843","-117.071205","501600","USD","2","5","2185 sqft","","","4108","341","","False","https://photos.zillowstatic.com/fp/aa4b6d07d9f5e848bcacd614319b4ab7-p_e.jpg","FOR SALE","Auction","REALHOME SERVICES & SOLUTIONS","https://www.zillow.com/homes/San-Diego,-CA_rb/","https://www.zillow.com/homedetails/5863-Roswell-St-San-Diego-CA-92114/17082281_zpid/","https://www.zillow.com/san-diego-ca/2_p/"
"248","16858096","2545 Ridgegate Row, La Jolla, CA 92037","32.82994","-117.239746","2375000","USD","4","4","3395 sqft","","2304100","11750","46","","False","https://photos.zillowstatic.com/fp/896f9e5364c84d9174e9ccc1cecb804e-p_e.jpg","FOR SALE","House for sale","Coldwell Banker West","https://www.zillow.com/homes/San-Diego,-CA_rb/","https://www.zillow.com/homedetails/2545-Ridgegate-Row-La-Jolla-CA-92037/16858096_zpid/","https://www.zillow.com/san-diego-ca/7_p/"
"595","16959448","4418 33rd Pl, San Diego, CA 92116","32.75761","-117.123505","800000","USD","2","2","736 sqft","","796800","3095","1","","False","https://photos.zillowstatic.com/fp/33e47fbd8e26c9b936a1953fe07561e7-p_e.jpg","FOR SALE","House for sale","Coldwell Banker Realty","https://www.zillow.com/homes/San-Diego,-CA_rb/","https://www.zillow.com/homedetails/4418-33rd-Pl-San-Diego-CA-92116/16959448_zpid/","https://www.zillow.com/san-diego-ca/15_p/"
"83","51077254","6835 Moorhen Pl, Carlsbad, CA 92011","33.10774","-117.27118","2300000","USD","4","5","3247 sqft","","2261200","6396","16","","False","https://photos.zillowstatic.com/fp/911d4a8ac1d58b69a82408dfae68defc-p_e.jpg","FOR SALE","House for sale","Coldwell Banker Realty","https://www.zillow.com/homes/Carlsbad,-CA_rb/","https://www.zillow.com/homedetails/6835-Moorhen-Pl-Carlsbad-CA-92011/51077254_zpid/","https://www.zillow.com/carlsbad-ca/3_p/"
"162","16962373","2136 Froude St, San Diego, CA 92107","32.74675","-117.240746","850000","USD","1","1","408 sqft","","843300","2324","49","","False","https://photos.zillowstatic.com/fp/2208ab21dca662a9513cb95bdfb5948b-p_e.jpg","FOR SALE","House for sale","Coldwell Banker West","https://www.zillow.com/homes/San-Diego,-CA_rb/","https://www.zillow.com/homedetails/2136-Froude-St-San-Diego-CA-92107/16962373_zpid/","https://www.zillow.com/san-diego-ca/4_p/"
"736","82927774","402 63rd St SPACE 99, San Diego, CA 92114","32.70794","-117.06529","150000","USD","2","2","800 sqft","","161500","2169","2","","False","https://photos.zillowstatic.com/fp/8945e11e875ce5fc9f392889c77b1eef-p_e.jpg","FOR SALE","Coming soon","Premier Agency Real Estate Inc.","https://www.zillow.com/homes/San-Diego,-CA_rb/","https://www.zillow.com/homedetails/402-63rd-St-SPACE-99-San-Diego-CA-92114/82927774_zpid/","https://www.zillow.com/san-diego-ca/18_p/"
"613","19565118","2129 Doxey Dr, San Jose, CA 95131","37.39001","-121.87428","1699999","USD","3","3","1352 sqft","","1714200","3757","55","","False","https://photos.zillowstatic.com/fp/52084e2e0d545dbc458bce624dcd9bd9-p_e.jpg","FOR SALE","House for sale","","https://www.zillow.com/homes/San-Jose,-CA_rb/","https://www.zillow.com/homedetails/2129-Doxey-Dr-San-Jose-CA-95131/19565118_zpid/","https://www.zillow.com/san-jose-ca/15_p/"
"282","245820782","66 Furlong, Irvine, CA 92602","33.75403","-117.76263","2950000","USD","5","4","2766 sqft","","2887200","6988","28","","False","https://photos.zillowstatic.com/fp/475fda57b0fbaea62552d447bf5713fe-p_e.jpg","FOR SALE","House for sale","Pinnacle Real Estate Group","https://www.zillow.com/homes/Irvine,-CA_rb/","https://www.zillow.com/homedetails/66-Furlong-Irvine-CA-92602/245820782_zpid/","https://www.zillow.com/irvine-ca/7_p/"
"344","17075988","2045 31st St, San Diego, CA 92104","32.727386","-117.12726","1750000","USD","2","3","1730 sqft","","1726700","5249","31","","False","https://photos.zillowstatic.com/fp/925ebd91a0a8322e506695401531714e-p_e.jpg","FOR SALE","House for sale","Alta Realty Group CA","https://www.zillow.com/homes/San-Diego,-CA_rb/","https://www.zillow.com/homedetails/2045-31st-St-San-Diego-CA-92104/17075988_zpid/","https://www.zillow.com/san-diego-ca/9_p/"
"617","19798431","8009 Pinot Noir Ct, San Jose, CA 95135","37.28745","-121.750114","728888","USD","2","2","1646 sqft","","718600","3524","46","","False","https://photos.zillowstatic.com/fp/2203fc491e1657843e5e59ba7086b901-p_e.jpg","FOR SALE","Condo for sale","","https://www.zillow.com/homes/San-Jose,-CA_rb/","https://www.zillow.com/homedetails/8009-Pinot-Noir-Ct-San-Jose-CA-95135/19798431_zpid/","https://www.zillow.com/san-jose-ca/16_p/"
"564","442140632","115 Sash, Irvine, CA 92618","33.67024","-117.70758","1598000","USD","4","3","2561 sqft","","1603900","","67","","False","https://photos.zillowstatic.com/fp/d6662fae994ba88ee8bf23b853e801e1-p_e.jpg","FOR SALE","Condo for sale","United Mutual Corp.","https://www.zillow.com/homes/Irvine,-CA_rb/","https://www.zillow.com/homedetails/115-Sash-Irvine-CA-92618/442140632_zpid/","https://www.zillow.com/irvine-ca/14_p/"
"777","2064306438","Plan 1 INT Plan, Plaza at Central","37.31864","-121.95356","1181990","USD","3","3","1623 sqft","","1147200","4948","30","","False","https://photos.zillowstatic.com/fp/e08c460d2b492e675894d7f634503d4c-p_e.jpg","FOR SALE","New construction","","https://www.zillow.com/homes/San-Jose,-CA_rb/","https://www.zillow.com/community/plaza-at-central/2064306438_zpid/","https://www.zillow.com/san-jose-ca/19_p/"
"546","439157773","Selene 1 Plan, Great Park Neighborhoods : Selene at Luna Park","33.6632","-117.719","1526626","USD","3","3","1963 sqft","","1519300","","11","","False","https://photos.zillowstatic.com/fp/02925314d68739df726bb604ccf2b796-p_e.jpg","FOR SALE","New construction","","https://www.zillow.com/homes/Irvine,-CA_rb/","https://www.zillow.com/community/great-park-neighborhoods-selene-at-luna-park/439157773_zpid/","https://www.zillow.com/irvine-ca/14_p/"
"701","55328433","235 Market St UNIT 510, San Diego, CA 92101","32.711205","-117.16241","575500","USD","2","2","1036 sqft","","572200","3834","1","","False","https://photos.zillowstatic.com/fp/786e46ab3f2a5d70927d27ffe3dac4ca-p_e.jpg","FOR SALE","Condo for sale","The Jake May Team, Inc.","https://www.zillow.com/homes/San-Diego,-CA_rb/","https://www.zillow.com/homedetails/235-Market-St-UNIT-510-San-Diego-CA-92101/55328433_zpid/","https://www.zillow.com/san-diego-ca/18_p/"
"88","15385971","(undisclosed Address), San Luis Obispo, CA 93401","","","763000","USD","2","2","1463 sqft","","","3231","124","","False","https://photos.zillowstatic.com/fp/efb8177db724befcf89a6c3f55ceeb0e-p_e.jpg","FOR SALE","Condo for sale","BHGRE HAVEN PROPERTIES","https://www.zillow.com/homes/San-Luis-Obispo,-CA_rb/","https://www.zillow.com/homedetails/San-Luis-Obispo-CA-93401/15385971_zpid/","https://www.zillow.com/san-luis-obispo-ca/3_p/"
"340","82947684","88 N Jackson Ave UNIT 126, San Jose, CA 95116","37.361614","-121.8451","399998","USD","1","1","720 sqft","","403800","2455","8","","False","https://photos.zillowstatic.com/fp/31d2eb615adf6bfba7752d24d051ed11-p_e.jpg","FOR SALE","Condo for sale","","https://www.zillow.com/homes/San-Jose,-CA_rb/","https://www.zillow.com/homedetails/88-N-Jackson-Ave-UNIT-126-San-Jose-CA-95116/82947684_zpid/","https://www.zillow.com/san-jose-ca/9_p/"
"710","19799791","3123 Lake Trasimeno Dr, San Jose, CA 95135","37.290344","-121.75902","975000","USD","2","2","1855 sqft","","977500","3804","15","","False","https://photos.zillowstatic.com/fp/c3d321425b90e035649e72985c882282-p_e.jpg","FOR SALE","Condo for sale","","https://www.zillow.com/homes/San-Jose,-CA_rb/","https://www.zillow.com/homedetails/3123-Lake-Trasimeno-Dr-San-Jose-CA-95135/19799791_zpid/","https://www.zillow.com/san-jose-ca/18_p/"
"169","17067052","1333 8th Ave UNIT 603, San Diego, CA 92101","32.719143","-117.15726","639900","USD","2","2","1143 sqft","","633600","3351","1","","False","https://photos.zillowstatic.com/fp/113b82b4c5b69be9c12100bb8904f3be-p_e.jpg","FOR SALE","Condo for sale","Redfin","https://www.zillow.com/homes/San-Diego,-CA_rb/","https://www.zillow.com/homedetails/1333-8th-Ave-UNIT-603-San-Diego-CA-92101/17067052_zpid/","https://www.zillow.com/san-diego-ca/5_p/"
"543","447913025","175 Sawbuck, Irvine, CA 92618","33.668716","-117.721596","1764990","USD","5","4","2839 sqft","","1752900","","28","","False","https://photos.zillowstatic.com/fp/ca3be6345581a8fd4db21a610ed71787-p_e.jpg","FOR SALE","New construction","","https://www.zillow.com/homes/Irvine,-CA_rb/","https://www.zillow.com/homedetails/175-Sawbuck-Irvine-CA-92618/447913025_zpid/","https://www.zillow.com/irvine-ca/14_p/"
"185","49941905","12581 Carmel Canyon Rd, San Diego, CA 92130","32.945045","-117.215065","1949900","USD","3","4","2328 sqft","","2024200","6626","14","","False","https://photos.zillowstatic.com/fp/9d3fa265ea42d8df7130c0191cfcc0d2-p_e.jpg","FOR SALE","House for sale","Wannebo Real Estate Group","https://www.zillow.com/homes/San-Diego,-CA_rb/","https://www.zillow.com/homedetails/12581-Carmel-Canyon-Rd-San-Diego-CA-92130/49941905_zpid/","https://www.zillow.com/san-diego-ca/5_p/"
"293","16968129","3929 Pringle St, San Diego, CA 92103","32.748238","-117.17776","2550000","USD","4","4","1809 sqft","","1637700","6323","3","","False","https://photos.zillowstatic.com/fp/2c9c132a2bc7f8296318a458a703507a-p_e.jpg","FOR SALE","Coming soon","Dunn, REALTORS/Park Pacific","https://www.zillow.com/homes/San-Diego,-CA_rb/","https://www.zillow.com/homedetails/3929-Pringle-St-San-Diego-CA-92103/16968129_zpid/","https://www.zillow.com/san-diego-ca/8_p/"
"4","15390189","1170 Lexington Ct, San Luis Obispo, CA 93401","35.26451","-120.642944","920000","USD","2","2","1263 sqft","","907300","2887","1","","False","https://photos.zillowstatic.com/fp/05da0af0099c4deb5bcdf1e781d57a48-p_e.jpg","FOR SALE","House for sale","Davies Co. Real Estate","https://www.zillow.com/homes/San-Luis-Obispo,-CA_rb/","https://www.zillow.com/homedetails/1170-Lexington-Ct-San-Luis-Obispo-CA-93401/15390189_zpid/","https://www.zillow.com/homes/San-Luis-Obispo,-CA_rb/"
"305","17022120","6226 Amber Lake Ave, San Diego, CA 92119","32.792442","-117.01495","949900","USD","2","3","1275 sqft","","","","7","","False","https://photos.zillowstatic.com/fp/eaccc2924a3fa1b814b3278d0ad70bc2-p_e.jpg","FOR SALE","House for sale","Beach City Brokers, Inc.","https://www.zillow.com/homes/San-Diego,-CA_rb/","https://www.zillow.com/homedetails/6226-Amber-Lake-Ave-San-Diego-CA-92119/17022120_zpid/","https://www.zillow.com/san-diego-ca/8_p/"
"556","16945434","7673 Hazard Center Dr, San Diego, CA 92108","32.770355","-117.156395","779500","USD","2","2","950 sqft","","767900","3042","3","","False","https://photos.zillowstatic.com/fp/55437b7ce8268e41488f90baa7fdde0f-p_e.jpg","FOR SALE","Condo for sale","CA Flat Fee Listings, Inc","https://www.zillow.com/homes/San-Diego,-CA_rb/","https://www.zillow.com/homedetails/7673-Hazard-Center-Dr-San-Diego-CA-92108/16945434_zpid/","https://www.zillow.com/san-diego-ca/14_p/"
"642","89133200","3845 Ocean View Blvd, San Diego, CA 92113","32.701046","-117.11153","890000","USD","2","5","1903 sqft","","886700","2608","38","","False","https://photos.zillowstatic.com/fp/999e72e8082be445a42c3f2268ce111c-p_e.jpg","FOR SALE","Multi-family home for sale","Compass","https://www.zillow.com/homes/San-Diego,-CA_rb/","https://www.zillow.com/homedetails/3845-Ocean-View-Blvd-San-Diego-CA-92113/89133200_zpid/","https://www.zillow.com/san-diego-ca/16_p/"
"167","82938821","3414 Don Cota Dr, Carlsbad, CA 92010","33.14986","-117.29268","569000","USD","2","2","1488 sqft","","554500","3162","53","","False","https://photos.zillowstatic.com/fp/d27c0bb826de477c15cce7e921f8e395-p_e.jpg","FOR SALE","Condo for sale","HomeSmart Realty West","https://www.zillow.com/homes/Carlsbad,-CA_rb/","https://www.zillow.com/homedetails/3414-Don-Cota-Dr-Carlsbad-CA-92010/82938821_zpid/","https://www.zillow.com/carlsbad-ca/5_p/"
"120","25771801","21 Saint Raphael, Laguna Niguel, CA 92677","33.510868","-117.73572","1825000","USD","3","2","1877 sqft","","1799500","5840","3","","False","https://photos.zillowstatic.com/fp/2a00aef5eab89b17af1b467c93f27454-p_e.jpg","FOR SALE","Condo for sale","Arbor Real Estate Group","https://www.zillow.com/homes/Laguna-Niguel,-CA_rb/","https://www.zillow.com/homedetails/21-Saint-Raphael-Laguna-Niguel-CA-92677/25771801_zpid/","https://www.zillow.com/laguna-niguel-ca/3_p/"
"85","25571877","30052 Happy Sparrow Ln, Laguna Niguel, CA 92677","33.52691","-117.7219","1748000","USD","3","4","2576 sqft","","1667500","6079","226","","False","https://photos.zillowstatic.com/fp/88c31ad698a3cb9e0f3fe703e47ab466-p_e.jpg","FOR SALE","House for sale","Berkshire Hathaway HomeServices California Properties","https://www.zillow.com/homes/Laguna-Niguel,-CA_rb/","https://www.zillow.com/homedetails/30052-Happy-Sparrow-Ln-Laguna-Niguel-CA-92677/25571877_zpid/","https://www.zillow.com/laguna-niguel-ca/3_p/"
"52","25551621","24281 Briones Dr, Laguna Niguel, CA 92677","33.5564","-117.70592","1400000","USD","3","4","2170 sqft","","1393900","5089","21","","False","https://photos.zillowstatic.com/fp/b5b2d6a60aba87496ece4469c9896290-p_e.jpg","FOR SALE","House for sale","Coldwell Banker Realty","https://www.zillow.com/homes/Laguna-Niguel,-CA_rb/","https://www.zillow.com/homedetails/24281-Briones-Dr-Laguna-Niguel-CA-92677/25551621_zpid/","https://www.zillow.com/laguna-niguel-ca/2_p/"
"315","64625973","37 Triple Leaf, Irvine, CA 92620","33.70202","-117.75227","3888000","USD","5","4","4389 sqft","","3808700","8026","63","","False","https://photos.zillowstatic.com/fp/1023d169ce681bbd6c1105f6667f0af3-p_e.jpg","FOR SALE","House for sale","The Moore Group","https://www.zillow.com/homes/Irvine,-CA_rb/","https://www.zillow.com/homedetails/37-Triple-Leaf-Irvine-CA-92620/64625973_zpid/","https://www.zillow.com/irvine-ca/8_p/"
"389","59309595","14640 Via Bergamo, San Diego, CA 92127","32.989758","-117.161995","2199000","USD","3","3","2588 sqft","","2162000","6245","8","","False","https://photos.zillowstatic.com/fp/690e1c0675838bf9f46efb0b64a99ca9-p_e.jpg","FOR SALE","House for sale","Compass","https://www.zillow.com/homes/San-Diego,-CA_rb/","https://www.zillow.com/homedetails/14640-Via-Bergamo-San-Diego-CA-92127/59309595_zpid/","https://www.zillow.com/san-diego-ca/10_p/"
"145","333210397","6108 Colt Pl UNIT 101, Carlsbad, CA 92009","33.129105","-117.25537","1415000","USD","4","3","2081 sqft","","","","16","","False","https://photos.zillowstatic.com/fp/e5a9043712365f3e8f19532bca5320c9-p_e.jpg","FOR SALE","Townhouse for sale","Compass","https://www.zillow.com/homes/Carlsbad,-CA_rb/","https://www.zillow.com/homedetails/6108-Colt-Pl-UNIT-101-Carlsbad-CA-92009/333210397_zpid/","https://www.zillow.com/carlsbad-ca/4_p/"
"23","25695921","104 Chandon, Laguna Niguel, CA 92677","33.52395","-117.68928","880000","USD","3","2","1256 sqft","","894100","3814","10","","False","https://photos.zillowstatic.com/fp/ef6ccf0bea1eff94ce67b3b7e8d808cd-p_e.jpg","FOR SALE","Townhouse for sale","Douglas Elliman of California","https://www.zillow.com/homes/Laguna-Niguel,-CA_rb/","https://www.zillow.com/homedetails/104-Chandon-Laguna-Niguel-CA-92677/25695921_zpid/","https://www.zillow.com/homes/Laguna-Niguel,-CA_rb/"
"732","443932682","796 Colleen Dr PARCEL 2, San Jose, CA 95123","37.232906","-121.846756","699000","USD","","","","0.4 acres","","","76","","False","https://photos.zillowstatic.com/fp/9f589fc7194638711f986002f7d9ecca-p_e.jpg","FOR SALE","Lot / Land for sale","","https://www.zillow.com/homes/San-Jose,-CA_rb/","https://www.zillow.com/homedetails/796-Colleen-Dr-PARCEL-2-San-Jose-CA-95123/443932682_zpid/","https://www.zillow.com/san-jose-ca/18_p/"
"9","111422787","615 Rockefeller, Irvine, CA 92612","33.675922","-117.84981","1349000","USD","3","2","1801 sqft","","1316300","4285","1","","False","https://photos.zillowstatic.com/fp/80f19ed1fb2e5e5f27e6a72e27e57b29-p_e.jpg","FOR SALE","Townhouse for sale","Luxe Real Estate","https://www.zillow.com/homes/Irvine,-CA_rb/","https://www.zillow.com/homedetails/615-Rockefeller-Irvine-CA-92612/111422787_zpid/","https://www.zillow.com/homes/Irvine,-CA_rb/"
"333","19734070","4147 Valleybrook Ct, San Jose, CA 95111","37.282623","-121.82131","1069000","USD","2","3","1070 sqft","","1071900","3504","44","","False","https://photos.zillowstatic.com/fp/1e8f3e26d24ac5c37fa8af0ec09efd5a-p_e.jpg","FOR SALE","House for sale","","https://www.zillow.com/homes/San-Jose,-CA_rb/","https://www.zillow.com/homedetails/4147-Valleybrook-Ct-San-Jose-CA-95111/19734070_zpid/","https://www.zillow.com/san-jose-ca/9_p/"
"279","83284095","14851 Jeffrey Rd SPACE 74, Irvine, CA 92618","33.688213","-117.77378","318000","USD","2","2","1440 sqft","","314200","3703","20","","False","https://photos.zillowstatic.com/fp/4c572cdae34fb2342bc1493f616da252-p_e.jpg","FOR SALE","Home for sale","Innovate Realty, Inc.","https://www.zillow.com/homes/Irvine,-CA_rb/","https://www.zillow.com/homedetails/14851-Jeffrey-Rd-SPACE-74-Irvine-CA-92618/83284095_zpid/","https://www.zillow.com/irvine-ca/7_p/"
"308","16809936","10301 Azuaga St UNIT 3, San Diego, CA 92129","32.961838","-117.10165","600000","USD","2","2","881 sqft","","607700","2672","0","","False","https://photos.zillowstatic.com/fp/a75d1544d8c9f05200ee6ba33bd0c977-p_e.jpg","FOR SALE","Condo for sale","Keller Williams San Diego Metro","https://www.zillow.com/homes/San-Diego,-CA_rb/","https://www.zillow.com/homedetails/10301-Azuaga-St-UNIT-3-San-Diego-CA-92129/16809936_zpid/","https://www.zillow.com/san-diego-ca/8_p/"
"551","447913023","153 Sawbuck, Irvine, CA 92618","33.668434","-117.7217","1844990","USD","4","4","2731 sqft","","1827600","","28","","False","https://photos.zillowstatic.com/fp/d645c3067be32e88153935b70c4c0949-p_e.jpg","FOR SALE","New construction","","https://www.zillow.com/homes/Irvine,-CA_rb/","https://www.zillow.com/homedetails/153-Sawbuck-Irvine-CA-92618/447913023_zpid/","https://www.zillow.com/irvine-ca/14_p/"
"148","25721179","6 Baristo #39, Irvine, CA 92612","33.64572","-117.79992","2300000","USD","3","4","2131 sqft","","2279100","5639","21","","False","https://photos.zillowstatic.com/fp/8397e16b0a8e49a17209784309c19eb6-p_e.jpg","FOR SALE","Condo for sale","Real Broker","https://www.zillow.com/homes/Irvine,-CA_rb/","https://www.zillow.com/homedetails/6-Baristo-39-Irvine-CA-92612/25721179_zpid/","https://www.zillow.com/irvine-ca/4_p/"
"366","2075401790","362 Cypress Ave, San Jose, CA 95117","37.321648","-121.95952","1749000","USD","3","4","1680 sqft","","1733000","5084","8","","False","https://photos.zillowstatic.com/fp/6de6a32e63d6fc0f6d050a23ccc18586-p_e.jpg","FOR SALE","House for sale","","https://www.zillow.com/homes/San-Jose,-CA_rb/","https://www.zillow.com/homedetails/362-Cypress-Ave-San-Jose-CA-95117/2075401790_zpid/","https://www.zillow.com/san-jose-ca/9_p/"
"182","325806450","1853 Almaden Rd APT 427, San Jose, CA 95125","37.301548","-121.88005","807800","USD","2","2","1067 sqft","","856900","3787","0","","False","https://photos.zillowstatic.com/fp/9bc3700e2ff0009555eb4a4ea3b3be07-p_e.jpg","FOR SALE","New construction","","https://www.zillow.com/homes/San-Jose,-CA_rb/","https://www.zillow.com/homedetails/1853-Almaden-Rd-APT-427-San-Jose-CA-95125/325806450_zpid/","https://www.zillow.com/san-jose-ca/5_p/"
"90","16907761","1045 Van Nuys St, San Diego, CA 92109","32.81221","-117.25531","4399000","USD","6","4","3311 sqft","","4212700","11772","1","","False","https://photos.zillowstatic.com/fp/eb4fc70b67b39f18b8ffea3867aa9458-p_e.jpg","FOR SALE","House for sale","Compass","https://www.zillow.com/homes/San-Diego,-CA_rb/","https://www.zillow.com/homedetails/1045-Van-Nuys-St-San-Diego-CA-92109/16907761_zpid/","https://www.zillow.com/san-diego-ca/3_p/"
"9","16852003","6283 La Jolla Scenic Dr S, La Jolla, CA 92037","32.82885","-117.253876","19995000","USD","9","8","12842 sqft","","","8227","10","","False","https://photos.zillowstatic.com/fp/a0ebf0389831dce434335efeb02baf08-p_e.jpg","FOR SALE","House for sale","Compass","https://www.zillow.com/homes/San-Diego,-CA_rb/","https://www.zillow.com/homedetails/6283-La-Jolla-Scenic-Dr-S-La-Jolla-CA-92037/16852003_zpid/","https://www.zillow.com/homes/San-Diego,-CA_rb/"
"141","305151334","111 Great Oak, Irvine, CA 92602","33.75466","-117.75162","5995000","USD","6","5","5379 sqft","","","12748","103","","False","https://photos.zillowstatic.com/fp/2f6eab718cc95759559d5e631611c514-p_e.jpg","FOR SALE","House for sale","Compass","https://www.zillow.com/homes/Irvine,-CA_rb/","https://www.zillow.com/homedetails/111-Great-Oak-Irvine-CA-92602/305151334_zpid/","https://www.zillow.com/irvine-ca/4_p/"
"96","19841738","5960 Liska Ln, San Jose, CA 95119","37.23736","-121.797905","1499999","USD","3","3","1497 sqft","","1422000","4375","1","","False","https://photos.zillowstatic.com/fp/14dc716e9d739c8f6f2ff8c6b455d741-p_e.jpg","FOR SALE","House for sale","","https://www.zillow.com/homes/San-Jose,-CA_rb/","https://www.zillow.com/homedetails/5960-Liska-Ln-San-Jose-CA-95119/19841738_zpid/","https://www.zillow.com/san-jose-ca/3_p/"
"277","118259938","174 Full Moon, Irvine, CA 92618","33.697525","-117.71689","1199000","USD","2","2","1717 sqft","","1200400","4056","15","","False","https://photos.zillowstatic.com/fp/a906e2177a3104c7bd6774c156d344dc-p_e.jpg","FOR SALE","Condo for sale","American Realty Management Solutions","https://www.zillow.com/homes/Irvine,-CA_rb/","https://www.zillow.com/homedetails/174-Full-Moon-Irvine-CA-92618/118259938_zpid/","https://www.zillow.com/irvine-ca/7_p/"
"612","447941587","Plan 3 Plan, Ovata at Great Park Neighborhoods","33.68198","-117.74079","2075990","USD","4","5","2734 sqft","","2055100","","14","","False","https://photos.zillowstatic.com/fp/9a67da39986d8bcf37e61319a88f4fbc-p_e.jpg","FOR SALE","New construction","","https://www.zillow.com/homes/Irvine,-CA_rb/","https://www.zillow.com/community/ovata-at-great-park-neighborhoods/447941587_zpid/","https://www.zillow.com/irvine-ca/15_p/"
